,xcoordinate,ycoordinate,Landmark,ScreenshotNo
110,1158.357867,627.6957918,laxmi bhandar,2
111,1158.357867,624.3199256,laxmi bhandar,2
112,1160.0458,631.0716579,laxmi bhandar,2
113,606.4037519,151.6986649,isi sub post office,2
114,601.3399527,153.3865979,isi sub post office,2
115,604.7158188,153.3865979,isi sub post office,2
116,604.7158188,150.0107318,isi sub post office,2
117,604.7158188,153.3865979,isi sub post office,2
118,603.0278858,150.0107318,isi sub post office,2
119,1109.407808,271.5419131,isi sub post office,3
120,1107.719875,276.6057124,isi sub post office,3
121,1107.719875,274.9177793,isi sub post office,3
122,1111.095741,274.9177793,isi sub post office,3
123,1107.719875,274.9177793,isi sub post office,3
124,1111.095741,273.2298462,isi sub post office,3
125,994.628359,166.8900625,isi subway,3
126,994.628359,173.6417948,isi subway,3
127,999.6921582,170.2659287,isi subway,3
128,996.316292,170.2659287,isi subway,3
129,999.6921582,170.2659287,isi subway,3
130,996.316292,168.5779956,isi subway,3
131,1026.699087,295.1729762,isi allahabad bank atm,3
132,1023.323221,298.5488423,isi allahabad bank atm,3
133,1021.635288,293.4850431,isi allahabad bank atm,3
134,1021.635288,295.1729762,isi allahabad bank atm,3
135,1023.323221,295.1729762,isi allahabad bank atm,3
136,1021.635288,293.4850431,isi allahabad bank atm,3
137,748.1901301,789.7373669,isi staff quarter,3
138,748.1901301,793.1132331,isi staff quarter,3
139,749.8780632,789.7373669,isi staff quarter,3
140,746.5021971,789.7373669,isi staff quarter,3
141,749.8780632,793.1132331,isi staff quarter,3
142,746.5021971,793.1132331,isi staff quarter,3
143,518.631232,308.6764408,new kalpana bhujia store,3
144,516.943299,312.0523069,new kalpana bhujia store,3
145,522.0070982,310.3643738,new kalpana bhujia store,3
146,516.943299,306.9885077,new kalpana bhujia store,3
147,516.943299,310.3643738,new kalpana bhujia store,3
148,522.0070982,312.0523069,new kalpana bhujia store,3
149,238.4343417,249.5987832,fashion zone,3
150,236.7464087,254.6625824,fashion zone,3
151,238.4343417,254.6625824,fashion zone,3
152,235.0584756,252.9746493,fashion zone,3
153,235.0584756,251.2867162,fashion zone,3
154,238.4343417,251.2867162,fashion zone,3
155,236.1248,251.2341,fashion zone,3
156,245.186074,399.8248268,car parking area of isi,3
157,251.9378063,399.8248268,car parking area of isi,3
158,246.8740071,399.8248268,car parking area of isi,3
159,246.8740071,403.2006929,car parking area of isi,3
160,245.186074,398.1368937,car parking area of isi,3
161,246.8740071,398.1368937,car parking area of isi,3
162,392.0362515,762.7304377,isi allahabad bank atm,4
163,392.0362515,766.1063039,isi allahabad bank atm,4
164,393.7241846,766.1063039,isi allahabad bank atm,4
165,390.3483184,764.4183708,isi allahabad bank atm,4
166,393.7241846,764.4183708,isi allahabad bank atm,4
167,390.3483184,764.4183708,isi allahabad bank atm,4
168,478.1208383,739.0993747,isi sub post office,4
169,476.4329052,742.4752408,isi sub post office,4
170,479.8087713,739.0993747,isi sub post office,4
171,476.4329052,739.0993747,isi sub post office,4
172,476.4329052,740.7873078,isi sub post office,4
173,478.1208383,737.4114416,isi sub post office,4
174,537.1984959,485.9094136,isi nursery,4
175,537.1984959,489.2852797,isi nursery,4
176,542.2622951,487.5973466,isi nursery,4
177,535.5105628,487.5973466,isi nursery,4
178,535.5105628,484.2214805,isi nursery,4
179,540.574362,487.5973466,isi nursery,4
180,532.1346966,487.5973466,isi nursery,4
181,363.3413892,631.0716579,isi subway,4
182,361.6534561,634.4475241,isi subway,4
183,365.0293223,632.759591,isi subway,4
184,361.6534561,632.759591,isi subway,4
185,361.6534561,631.0716579,isi subway,4
186,365.0293223,636.1354572,isi subway,4
187,1041.890485,636.1354572,niranjan garage,4
188,1040.202552,636.1354572,niranjan garage,4
189,1045.266351,636.1354572,niranjan garage,4
190,1040.202552,634.4475241,niranjan garage,4
191,1041.890485,634.4475241,niranjan garage,4
192,1041.890485,636.1354572,niranjan garage,4
193,1180.300997,701.9648471,bedi diesel service center,4
194,1178.613064,705.3407132,bedi diesel service center,4
195,1181.98893,703.6527801,bedi diesel service center,4
196,1176.925131,701.9648471,bedi diesel service center,4
197,1178.613064,701.9648471,bedi diesel service center,4
198,1181.98893,707.0286463,bedi diesel service center,4
199,667.1693426,713.7803786,isi nursery,5
200,665.4814095,715.4683116,isi nursery,5
201,670.5452087,713.7803786,isi nursery,5
202,667.1693426,713.7803786,isi nursery,5
203,670.5452087,717.1562447,isi nursery,5
204,667.1693426,717.1562447,isi nursery,5
205,322.8309954,141.5710664,amrapali,5
206,321.1430624,144.9469326,amrapali,5
207,322.8309954,143.2589995,amrapali,5
208,319.4551293,141.5710664,amrapali,5
209,319.4551293,143.2589995,amrapali,5
210,322.8309954,144.9469326,amrapali,5
211,224.9308771,653.0147879,amrapali,6
212,224.9308771,658.0785871,amrapali,6
213,224.9308771,651.3268548,amrapali,6
214,221.555011,651.3268548,amrapali,6
215,224.9308771,654.702721,amrapali,6
